,conf_type,value,filename
150,FN,2.201999999999998,2008_Kislokan_Udygir_Valentina_LR1_MP4-2-2
151,FP,28.539099999999987,2008_Kislokan_Udygir_Valentina_LR1_MP4-2-2
152,TN,25.579999999999995,2008_Kislokan_Udygir_Valentina_LR1_MP4-2-2
153,TP,3.6880000000000166,2008_Kislokan_Udygir_Valentina_LR1_MP4-2-2
154,FN,13.543000000000006,2006_Ozero_Bolshoe_Sovetskoe_Saygotin_LO2-1-1
155,FP,14.091400000000005,2006_Ozero_Bolshoe_Sovetskoe_Saygotin_LO2-1-1
156,TN,20.366999999999983,2006_Ozero_Bolshoe_Sovetskoe_Saygotin_LO2-1-1
157,TP,11.999000000000006,2006_Ozero_Bolshoe_Sovetskoe_Saygotin_LO2-1-1
158,FN,4.8259999999999925,2005_Poligus_Khadonchina_LO-0-0
159,FP,19.362399999999994,2005_Poligus_Khadonchina_LO-0-0
160,TN,8.192,2005_Poligus_Khadonchina_LO-0-0
161,TP,27.62000000000001,2005_Poligus_Khadonchina_LO-0-0
162,FN,1.7390000000000008,2007_Chirinda_Eldogir_Valentina_FSk7-1-1
163,FP,28.240000000000006,2007_Chirinda_Eldogir_Valentina_FSk7-1-1
164,TN,15.966999999999988,2007_Chirinda_Eldogir_Valentina_FSk7-1-1
165,TP,13.124000000000006,2007_Chirinda_Eldogir_Valentina_FSk7-1-1
166,FN,2.178000000000022,2008_Tura_Eldygir_Liliya_LAv-2-3
167,FP,27.898400000000027,2008_Tura_Eldygir_Liliya_LAv-2-3
168,TN,19.55199999999996,2008_Tura_Eldygir_Liliya_LAv-2-3
169,TP,10.37199999999999,2008_Tura_Eldygir_Liliya_LAv-2-3
170,FN,14.056999999999928,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-8
171,FP,17.3784,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-8
172,TN,15.941000000000077,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-8
173,TP,12.623999999999995,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-8
174,FN,1.5539999999999985,2008_Tura_Eldygir_Liliya_LAv-1-0
175,FP,20.486000000000022,2008_Tura_Eldygir_Liliya_LAv-1-0
176,TN,25.483999999999973,2008_Tura_Eldygir_Liliya_LAv-1-0
177,TP,10.93800000000001,2008_Tura_Eldygir_Liliya_LAv-1-0
178,FN,2.655999999999974,2007_Chirinda_Eldogir_Valentina_FSk9-2-1
179,FP,28.17000000000001,2007_Chirinda_Eldogir_Valentina_FSk9-2-1
180,TN,16.202000000000016,2007_Chirinda_Eldogir_Valentina_FSk9-2-1
181,TP,12.873999999999999,2007_Chirinda_Eldogir_Valentina_FSk9-2-1
182,FN,6.251000000000033,2010_Bely_Yar_Ivigin_Vladimir_LR1-1-9
